recipe_id,country_code,category,recipe_url,name_en,info_short_en,info_long_en,wine_short_en,wine_long_en,name_nl,info_short_nl,info_long_nl,wine_short_nl,wine_long_nl,name_de,info_short_de,info_long_de,wine_short_de,wine_long_de,name_fr,info_short_fr,info_long_fr,wine_short_fr,wine_long_fr
it_tagliatelle_ragu_bolognese,IT,main,https://cdn.shopify.com/s/files/1/1029/8785/8269/files/T1.jpg,Tagliatelle al Ragù Bolognese,Slow-cooked ragù,"A traditional Emilia-Romagna dish of fresh egg tagliatelle dressed with a slow-simmered meat ragù built on soffritto, wine, tomato, and milk, cooked gently until rich and silky. Served as a hearty first course at family lunches or Sunday meals, finished with freshly grated Parmigiano-Reggiano.",Sangiovese or Lambrusco,Pair with a medium-bodied Italian red such as Sangiovese or a dry Lambrusco to match the ragù’s richness and acidity. A lightly oaked white can work if you prefer something softer. Non-alcoholic option: sparkling water with lemon or a lightly tannic black tea served chilled.,Tagliatelle al Ragù Bolognese,Langzaam gegaarde ragù,"Een traditioneel gerecht uit Emilia-Romagna met verse eier-tagliatelle en een langzaam gestoofde vleessaus op basis van soffritto, wijn, tomaat en melk, zachtjes gekookt tot rijk en zijdezacht. Geserveerd als stevige eerste gang bij familielunches of zondagse maaltijden, afgewerkt met versgeraspte Parmigiano-Reggiano.",Sangiovese of Lambrusco,"Combineer met een middelzware Italiaanse rode wijn zoals Sangiovese of een droge Lambrusco die past bij de rijkdom en frisheid van de ragù. Een licht houtgerijpte witte wijn kan ook als je iets zachters wilt. Alcoholvrij: bruiswater met citroen of licht tanninerijke zwarte thee, gekoeld geserveerd.",Tagliatelle al Ragù Bolognese,Langsam geschmortes Ragù,"Ein traditionelles Gericht aus der Emilia-Romagna: frische Eier-Tagliatelle mit einem langsam geschmorten Fleischragù aus Soffritto, Wein, Tomate und Milch, sanft gekocht bis es reichhaltig und seidig ist. Als kräftiger erster Gang bei Familienessen oder Sonntagsmahlzeiten serviert, mit frisch geriebenem Parmigiano-Reggiano vollendet.",Sangiovese oder Lambrusco,"Dazu passt ein mittelkräftiger italienischer Rotwein wie Sangiovese oder ein trockener Lambrusco, der die Fülle und Säure des Ragù aufgreift. Ein leicht im Holz ausgebauter Weißwein kann ebenfalls funktionieren, wenn du es milder magst. Alkoholfrei: Sprudelwasser mit Zitrone oder leicht herber, gekühlter schwarzer Tee.",Tagliatelle al Ragù Bolognese,Ragù mijoté,"Plat traditionnel d’Émilie-Romagne: des tagliatelles fraîches aux œufs nappées d’un ragù de viande mijoté lentement à base de soffritto, vin, tomate et lait, cuit doucement jusqu’à devenir riche et soyeux. Servi en premier plat généreux lors des déjeuners en famille ou des repas du dimanche, fini avec du Parmigiano-Reggiano fraîchement râpé.",Sangiovese ou Lambrusco,"À accompagner d’un rouge italien de corps moyen comme un Sangiovese ou d’un Lambrusco sec, pour répondre à la richesse et à l’acidité du ragù. Un blanc légèrement boisé peut aussi convenir si vous préférez plus doux. Sans alcool: eau pétillante au citron ou thé noir légèrement tannique, servi frais."
it_cacio_e_pepe,IT,main,https://cdn.shopify.com/s/files/1/1029/8785/8269/files/T1.jpg,Cacio e Pepe,Peppery cheese pasta,"A classic Roman pasta built from just pasta, Pecorino Romano, black pepper, and starchy cooking water, creating a glossy, tangy sauce that clings to each strand. Traditionally served hot as a simple yet satisfying main at trattorias and home tables, relying on technique and timing rather than extra ingredients.",Frascati or light red,"Pair with a crisp Roman white such as Frascati, or a light, low-tannin red to let the pepper and cheese shine. Non-alcoholic option: sparkling water or a bitter-sweet citrus soda.",Cacio e Pepe,Peperige kaaspasta,"Een klassieke Romeinse pasta met alleen pasta, Pecorino Romano, zwarte peper en zetmeelrijk kookwater, die samen een glanzende, pittig-hartige saus vormen die aan elke streng kleeft. Traditioneel heet geserveerd als eenvoudige maar bevredigende maaltijd in trattoria’s en thuis, met nadruk op techniek en timing in plaats van extra ingrediënten.",Frascati of lichte rood,"Combineer met een frisse Romeinse witte wijn zoals Frascati, of een lichte rode wijn met weinig tannine zodat peper en kaas kunnen schitteren. Alcoholvrij: bruiswater of een bitterzoete citrusfrisdrank.",Cacio e Pepe,Pfeffrige Käsepasta,"Eine klassische römische Pasta aus nur Pasta, Pecorino Romano, schwarzem Pfeffer und stärkehaltigem Kochwasser, die eine glänzende, pikante Sauce ergibt, die an jeder Nudel haftet. Traditionell heiß als schlichtes, aber sättigendes Hauptgericht in Trattorien und zu Hause serviert, wobei Technik und Timing statt zusätzlicher Zutaten zählen.",Frascati oder leichter Rotwein,"Kombiniere mit einem frischen römischen Weißwein wie Frascati oder einem leichten, tanninarmen Rotwein, damit Pfeffer und Käse im Vordergrund stehen. Alkoholfrei: Sprudelwasser oder eine bittersüße Zitruslimonade.",Cacio e Pepe,Pâtes poivre-fromage,"Classique romain composé uniquement de pâtes, Pecorino Romano, poivre noir et eau de cuisson riche en amidon, formant une sauce brillante et acidulée qui accroche chaque brin. Traditionnellement servi très chaud comme plat principal simple mais rassasiant en trattoria et à la maison, misant sur la technique et le timing plutôt que sur des ingrédients supplémentaires.",Frascati ou rouge léger,"À associer à un blanc romain vif comme le Frascati, ou à un rouge léger et peu tannique pour laisser briller le poivre et le fromage. Sans alcool: eau pétillante ou soda d’agrumes doux-amer."
it_spaghetti_alla_carbonara,IT,main,https://cdn.shopify.com/s/files/1/1029/8785/8269/files/T1.jpg,Spaghetti alla Carbonara,Creamy egg sauce,"A traditional Roman pasta where hot spaghetti is coated in a silky emulsion of egg, Pecorino Romano, and rendered guanciale fat, finished with plenty of black pepper. Served immediately while glossy and hot, carbonara is a staple of trattorias and home kitchens, valued for its richness and careful technique.",Frascati or red,"Pair with a crisp Roman white such as Frascati or a light, low-tannin red that will not overpower the guanciale and pepper. Non-alcoholic option: sparkling water with lemon or a bitter citrus soda.",Spaghetti alla Carbonara,Romige ei-saus,"Een traditionele Romeinse pasta waarbij hete spaghetti wordt omhuld door een zijdezachte emulsie van ei, Pecorino Romano en het uitgebakken vet van guanciale, afgewerkt met royaal zwarte peper. Meteen serveren terwijl het glanst en heet is; carbonara is een vaste waarde in trattoria’s en thuiskeukens, geliefd om zijn rijkdom en precieze techniek.",Frascati of rood,Combineer met een frisse Romeinse witte wijn zoals Frascati of een lichte rode wijn met weinig tannine die guanciale en peper niet overheerst. Alcoholvrij: bruiswater met citroen of een bitter citrusdrankje.,Spaghetti alla Carbonara,Cremige Eiersauce,"Eine traditionelle römische Pasta, bei der heiße Spaghetti von einer seidigen Emulsion aus Ei, Pecorino Romano und ausgelassenem Guanciale-Fett umhüllt werden, mit reichlich schwarzem Pfeffer vollendet. Sofort servieren, solange sie glänzend und heiß ist; Carbonara ist ein Klassiker in Trattorien und Hausküchen, geschätzt für ihren Reichtum und die präzise Technik.",Frascati oder Rotwein,"Dazu passt ein frischer römischer Weißwein wie Frascati oder ein leichter, tanninarmer Rotwein, der Guanciale und Pfeffer nicht überdeckt. Alkoholfrei: Sprudelwasser mit Zitrone oder eine bittere Zitruslimonade.",Spaghetti alla Carbonara,Sauce aux œufs,"Pâtes romaines traditionnelles où des spaghetti chauds sont enrobés d’une émulsion soyeuse d’œuf, de Pecorino Romano et de gras de guanciale fondu, avec beaucoup de poivre noir. Servie immédiatement, brillante et bien chaude; un pilier des trattorias et des cuisines familiales, apprécié pour sa richesse et sa technique précise.",Frascati ou rouge,"À associer à un blanc romain vif comme le Frascati, ou à un rouge léger et peu tannique qui ne dominera pas le guanciale et le poivre. Sans alcool: eau pétillante au citron ou soda d’agrumes amer."
it_pasta_alla_norma,IT,main,https://cdn.shopify.com/s/files/1/1029/8785/8269/files/T1.jpg,Pasta alla Norma,Eggplant tomato pasta,"A traditional Sicilian pasta of fried eggplant tossed with a simple tomato sauce, finished with fragrant basil and a shower of salty ricotta salata. Often made in late summer when eggplants and tomatoes are at their best, it is served hot as a comforting main that balances sweetness, acidity, and savory cheese.",Nero dAvola,"Pair with a Sicilian red such as Nero dAvola, or a dry rosé with good acidity to match the tomato and eggplant. Non-alcoholic option: sparkling water with lemon or a chilled herbal iced tea.",Pasta alla Norma,Aubergine-tomatenpasta,"Een traditionele Siciliaanse pasta met gebakken aubergine in een eenvoudige tomatensaus, afgewerkt met geurige basilicum en een royale hoeveelheid zoute ricotta salata. Vaak gemaakt in nazomer wanneer aubergines en tomaten op hun best zijn; heet geserveerd als troostrijke hoofdmaaltijd met balans tussen zoet, zuur en hartig.",Nero dAvola,"Combineer met een Siciliaanse rode wijn zoals Nero d’Avola, of een droge rosé met goede zuren die passen bij tomaat en aubergine. Alcoholvrij: bruiswater met citroen of gekoelde kruidenthee.",Pasta alla Norma,Auberginen-Tomatenpasta,"Eine traditionelle sizilianische Pasta mit frittierten Auberginen in einer schlichten Tomatensauce, abgeschlossen mit duftendem Basilikum und einer ordentlichen Portion salziger Ricotta salata. Oft im Spätsommer zubereitet, wenn Auberginen und Tomaten am besten sind; heiß serviert als wohltuendes Hauptgericht mit Balance aus Süße, Säure und Würze.",Nero dAvola,"Kombiniere mit einem sizilianischen Rotwein wie Nero d’Avola oder einem trockenen Rosé mit guter Säure, passend zu Tomate und Aubergine. Alkoholfrei: Sprudelwasser mit Zitrone oder gut gekühlter Kräutertee.",Pasta alla Norma,Pâtes aubergine-tomate,"Pâtes siciliennes traditionnelles avec aubergines frites mêlées à une sauce tomate simple, finies avec du basilic parfumé et une pluie de ricotta salata. Souvent préparées en fin d’été quand aubergines et tomates sont au meilleur; servies chaudes comme plat réconfortant, équilibrant douceur, acidité et fromage salé.",Nero dAvola,"À associer à un rouge sicilien comme le Nero d’Avola, ou à un rosé sec à bonne acidité pour accompagner tomate et aubergine. Sans alcool: eau pétillante au citron ou tisane froide aux herbes."
it_risotto_alla_milanese,IT,main,https://cdn.shopify.com/s/files/1/1029/8785/8269/files/T1.jpg,Risotto alla Milanese,Saffron butter risotto,"A traditional Milanese risotto made with Carnaroli or Arborio rice slowly cooked by adding hot broth little by little, finished with butter and Parmigiano-Reggiano for a creamy texture and bright yellow color from saffron. Often served as a first course or alongside ossobuco, it is a centerpiece of Lombardy cooking and best eaten immediately while flowing.",Dry white wine,"Pair with a crisp, dry white such as Pinot Grigio or a northern Italian white with good acidity to balance the butter and cheese. Non-alcoholic option: sparkling water or a lightly sweetened lemon tea served chilled.",Risotto alla Milanese,Saffraanboter risotto,"Een traditionele Milanese risotto van Carnaroli- of Arboriorijst, langzaam gegaard door beetje bij beetje hete bouillon toe te voegen, en afgewerkt met boter en Parmigiano-Reggiano voor een romige textuur en een heldergele kleur door saffraan. Vaak als eerste gang of naast ossobuco; een icoon uit Lombardije, het lekkerst direct geserveerd terwijl hij nog mooi vloeit.",Droge witte wijn,"Combineer met een frisse, droge witte wijn zoals Pinot Grigio of een Noord-Italiaanse witte met goede zuren om boter en kaas in balans te brengen. Alcoholvrij: bruiswater of licht gezoete citroenthee, gekoeld.",Risotto alla Milanese,Safran-Butter-Risotto,"Ein traditionelles Mailänder Risotto aus Carnaroli- oder Arborio-Reis, langsam gegart, indem heiße Brühe nach und nach zugegeben wird, und mit Butter und Parmigiano-Reggiano vollendet für eine cremige Textur und die leuchtend gelbe Farbe durch Safran. Häufig als erster Gang oder zu Ossobuco serviert; ein Herzstück der lombardischen Küche, am besten sofort serviert, wenn es noch schön fließt.",Trockener Weißwein,"Dazu passt ein frischer, trockener Weißwein wie Pinot Grigio oder ein norditalienischer Weißwein mit guter Säure, der Butter und Käse ausbalanciert. Alkoholfrei: Sprudelwasser oder leicht gesüßter Zitronentee, gekühlt serviert.",Risotto alla Milanese,Risotto safran-beurre,"Risotto milanais traditionnel à base de riz Carnaroli ou Arborio, cuit lentement en ajoutant le bouillon chaud petit à petit, puis terminé au beurre et au Parmigiano-Reggiano pour une texture crémeuse et une couleur jaune vive grâce au safran. Souvent servi en primo ou avec l’ossobuco; un incontournable lombard, à déguster aussitôt tant qu’il est bien coulant.",Blanc sec,"À associer à un blanc sec et vif comme un Pinot Grigio, ou à un blanc du nord de l’Italie avec une bonne acidité pour équilibrer beurre et fromage. Sans alcool: eau pétillante ou thé au citron légèrement sucré, servi frais."
it_lasagna_alla_bolognese,IT,main,https://cdn.shopify.com/s/files/1/1029/8785/8269/files/T1.jpg,Lasagna alla Bolognese,Layered baked pasta,"A traditional Emilia-Romagna lasagna made with fresh egg pasta sheets layered with slow-cooked ragù and béchamel, finished with Parmigiano-Reggiano. Baked until bubbling and lightly browned, it is served in generous slices for family Sundays and celebrations, prized for its rich, cohesive layers and deep savory flavor.",Sangiovese or Lambrusco,Pair with Sangiovese or a dry Lambrusco to cut through the richness and match the ragù. A fuller-bodied white with good acidity can also work. Non-alcoholic option: sparkling water or a lightly bitter citrus soda.,Lasagna alla Bolognese,Gelaagde ovenschotel,"Een traditionele lasagne uit Emilia-Romagna met verse eierpasta in lagen met langzaam gegaarde ragù en béchamelsaus, afgewerkt met Parmigiano-Reggiano. Gebakken tot het bubbelt en licht bruint, en in royale stukken geserveerd bij familie-zondagen en feestelijke momenten, gewaardeerd om de rijke, samenhangende lagen en diepe hartige smaak.",Sangiovese of Lambrusco,Combineer met Sangiovese of een droge Lambrusco om door de rijkdom heen te snijden en bij de ragù te passen. Een vollere witte met goede zuren kan ook. Alcoholvrij: bruiswater of een licht bittere citrusfrisdrank.,Lasagna alla Bolognese,Geschichtete Ofenpasta,"Eine traditionelle Lasagne aus der Emilia-Romagna mit frischen Eierpasta-Blättern, geschichtet mit langsam geschmortem Ragù und Béchamelsauce, mit Parmigiano-Reggiano vollendet. Gebacken bis sie blubbert und leicht bräunt, in großzügigen Stücken bei Familien-Sonntagen und Festen serviert, geschätzt für ihre reichen, zusammenhängenden Schichten und den tief herzhaften Geschmack.",Sangiovese oder Lambrusco,"Kombiniere mit Sangiovese oder einem trockenen Lambrusco, um die Reichhaltigkeit zu schneiden und zum Ragù zu passen. Ein vollerer Weißwein mit guter Säure kann ebenfalls funktionieren. Alkoholfrei: Sprudelwasser oder eine leicht bittere Zitruslimonade.",Lasagna alla Bolognese,Pâtes gratinées en couches,"Lasagnes traditionnelles d’Émilie-Romagne réalisées avec des feuilles de pâtes fraîches aux œufs, superposées avec un ragù longuement mijoté et une béchamel, puis finies au Parmigiano-Reggiano. Cuites jusqu’à bouillonner et dorer légèrement, servies en parts généreuses lors des dimanches en famille et des fêtes, appréciées pour leurs couches riches et leur saveur profonde.",Sangiovese ou Lambrusco,À associer à un Sangiovese ou à un Lambrusco sec pour trancher la richesse et accompagner le ragù. Un blanc plus ample avec une bonne acidité peut aussi convenir. Sans alcool: eau pétillante ou soda d’agrumes légèrement amer.
it_ossobuco_alla_milanese,IT,main,https://cdn.shopify.com/s/files/1/1029/8785/8269/files/T1.jpg,Osso Buco alla Milanese,Braised veal shanks,"A classic Lombard braise of cross-cut veal shanks slowly cooked with soffritto, wine, and broth until meltingly tender, served with the marrow at the bone’s center. Traditionally finished with gremolata and often paired with Risotto alla Milanese, it is a celebratory, comforting dish meant for a long, gentle cook and immediate serving.",Barbera or Nebbiolo,Pair with a northern Italian red such as Barbera for bright acidity or a lighter-style Nebbiolo to complement the veal and gremolata. Non-alcoholic option: sparkling water with lemon or a lightly bitter orange soda.,Osso Buco alla Milanese,Gestoofde kalfsschenkels,"Een klassieke Lombardische stoof van in plakken gezaagde kalfsschenkels, langzaam gegaard met soffritto, wijn en bouillon tot boterzacht, geserveerd met het merg in het midden van het bot. Traditioneel afgewerkt met gremolata en vaak gecombineerd met Risotto alla Milanese; een feestelijk, troostrijk gerecht dat vraagt om lang, zacht stoven en direct serveren.",Barbera of Nebbiolo,"Combineer met een Noord-Italiaanse rode wijn zoals Barbera voor frisse zuren, of een lichtere stijl Nebbiolo die past bij kalf en gremolata. Alcoholvrij: bruiswater met citroen of een licht bittere sinaasfrisdrank.",Osso Buco alla Milanese,Geschmorte Kalbshaxen,"Ein klassisches lombardisches Schmorgericht aus quer geschnittenen Kalbshaxen, langsam gegart mit Soffritto, Wein und Brühe bis butterzart, serviert mit dem Mark in der Knochenmitte. Traditionell mit Gremolata vollendet und oft mit Risotto alla Milanese kombiniert; ein festliches, wohltuendes Gericht für langes, sanftes Schmoren und sofortiges Servieren.",Barbera oder Nebbiolo,"Dazu passt ein norditalienischer Rotwein wie Barbera mit frischer Säure oder ein leichterer Nebbiolo-Stil, der Kalb und Gremolata ergänzt. Alkoholfrei: Sprudelwasser mit Zitrone oder eine leicht bittere Orangenlimonade.",Osso Buco alla Milanese,Jarrets de veau braisés,"Braisé lombard classique de jarrets de veau coupés en tranches, mijotés lentement avec soffritto, vin et bouillon jusqu’à devenir fondants, servis avec la moelle au centre de l’os. Traditionnellement fini à la gremolata et souvent accompagné de Risotto alla Milanese; plat festif et réconfortant, destiné à une cuisson longue et douce et à un service immédiat.",Barbera ou Nebbiolo,"À associer à un rouge du nord de l’Italie comme le Barbera pour sa belle acidité, ou à un Nebbiolo dans un style plus léger pour compléter le veau et la gremolata. Sans alcool: eau pétillante au citron ou soda à l’orange légèrement amer."
it_bistecca_alla_fiorentina,IT,main,https://cdn.shopify.com/s/files/1/1029/8785/8269/files/T1.jpg,Bistecca alla Fiorentina,Tuscan grilled steak,"A traditional Tuscan porterhouse-style T-bone steak from Chianina or similar beef, cooked over very hot coals and seasoned simply with salt, pepper, and olive oil. Served rare to medium-rare with a deeply seared crust, it is a centerpiece dish for gatherings, typically paired with rustic sides and enjoyed immediately after resting.",Chianti Classico,Pair with Chianti Classico or another Sangiovese-based Tuscan red with firm acidity and tannin to match the steak. Non-alcoholic option: sparkling water or an unsweetened iced tea with lemon.,Bistecca alla Fiorentina,Toscaanse grillsteak,"Een traditionele Toscaanse porterhouse-achtige T-bonesteak van Chianina of vergelijkbaar rund, bereid boven zeer hete kolen en simpel op smaak gebracht met zout, peper en olijfolie. Rauw tot medium-rare geserveerd met een diepe korst; een pronkstuk voor gezelschappen, meestal met rustieke bijgerechten en direct na het rusten gegeten.",Chianti Classico,Combineer met Chianti Classico of een andere Sangiovese-gedreven Toscaanse rode wijn met stevige zuren en tannine die bij de steak past. Alcoholvrij: bruiswater of ongezoete ijsthee met citroen.,Bistecca alla Fiorentina,Toskanisches Grillsteak,"Ein traditionelles toskanisches Porterhouse-artiges T-Bone-Steak von Chianina oder ähnlichem Rind, über sehr heißer Glut gegart und schlicht mit Salz, Pfeffer und Olivenöl gewürzt. Rare bis medium-rare mit kräftiger Kruste serviert; ein Mittelpunkt für gesellige Runden, meist mit rustikalen Beilagen und direkt nach dem Ruhen genossen.",Chianti Classico,"Kombiniere mit Chianti Classico oder einem anderen Sangiovese-basierten toskanischen Rotwein mit fester Säure und Tannin, passend zum Steak. Alkoholfrei: Sprudelwasser oder ungesüßter Eistee mit Zitrone.",Bistecca alla Fiorentina,Steak toscan grillé,"Steak T-bone traditionnel toscan, type porterhouse, de race Chianina ou bœuf similaire, cuit sur braises très vives et assaisonné simplement de sel, poivre et huile d’olive. Servi saignant à mi-saignant avec une croûte bien marquée; pièce maîtresse des repas conviviaux, souvent avec des accompagnements rustiques, dégustée juste après repos.",Chianti Classico,"À associer à un Chianti Classico ou à un autre rouge toscan à base de Sangiovese, avec une acidité et des tanins solides pour accompagner le steak. Sans alcool: eau pétillante ou thé glacé non sucré au citron."
it_pizza_margherita,IT,main,https://cdn.shopify.com/s/files/1/1029/8785/8269/files/T1.jpg,Pizza Margherita,Neapolitan classic,"A traditional Neapolitan-style pizza with a soft, airy cornicione and a thin center, topped simply with crushed tomatoes, mozzarella, fresh basil, and extra-virgin olive oil. Baked at very high heat and served immediately, it is a staple of pizzerias and home ovens aiming for a fast bake and fresh, balanced flavors.",Italian light red,Pair with a light Italian red such as a young Sangiovese or a dry sparkling wine to match the tomato and cheese. Non-alcoholic option: sparkling water or a chilled lemon soda.,Pizza Margherita,Napolitaanse klassieker,"Een traditionele pizza in Napolitaanse stijl met een zachte, luchtige cornicione en een dun midden, eenvoudig belegd met geplette tomaten, mozzarella, verse basilicum en extra vergine olijfolie. Gebakken op zeer hoge temperatuur en direct geserveerd; een basis van pizzeria’s en thuiskoks die mikken op een korte baktijd en frisse, gebalanceerde smaken.",Lichte Italiaanse rood,"Combineer met een lichte Italiaanse rode wijn, bijvoorbeeld een jonge Sangiovese, of met een droge mousserende wijn die past bij tomaat en kaas. Alcoholvrij: bruiswater of gekoelde citroenlimonade.",Pizza Margherita,Neapolitanischer Klassiker,"Eine traditionelle Pizza neapolitanischer Art mit weichem, luftigem Rand und dünner Mitte, schlicht belegt mit zerdrückten Tomaten, Mozzarella, frischem Basilikum und nativem Olivenöl extra. Bei sehr hoher Hitze gebacken und sofort serviert; ein Grundpfeiler von Pizzerien und Heimöfen, mit Fokus auf kurze Backzeit und frische, ausgewogene Aromen.",Leichter italienischer Rotwein,"Kombiniere mit einem leichten italienischen Rotwein, z. B. jungem Sangiovese, oder einem trockenen Schaumwein, passend zu Tomate und Käse. Alkoholfrei: Sprudelwasser oder gut gekühlte Zitronenlimonade.",Pizza Margherita,Classique napolitain,"Pizza traditionnelle de style napolitain, avec un cornicione souple et aérien et un centre fin, garnie simplement de tomates écrasées, mozzarella, basilic frais et huile d’olive extra vierge. Cuisson très chaude et service immédiat; un incontournable des pizzerias et des fours domestiques visant une cuisson rapide et des saveurs fraîches et équilibrées.",Rouge italien léger,"À associer à un rouge italien léger comme un jeune Sangiovese, ou à un vin effervescent sec pour accompagner tomate et fromage. Sans alcool: eau pétillante ou limonade au citron bien fraîche."
it_bruschetta_al_pomodoro,IT,starter,https://cdn.shopify.com/s/files/1/1029/8785/8269/files/T1.jpg,Bruschetta al Pomodoro,Tomato garlic toast,"A traditional Italian antipasto of grilled or toasted rustic bread rubbed with garlic and topped with chopped ripe tomatoes dressed with extra-virgin olive oil, basil, salt, and pepper. Served immediately while the bread is crisp and warm, it is a classic start to a meal, especially in summer when tomatoes are sweetest.",Dry white wine,Pair with a crisp dry Italian white such as Vermentino or a light-bodied rosé to match the fresh tomato and olive oil. Non-alcoholic option: sparkling water with lemon or an unsweetened iced tea.,Bruschetta al Pomodoro,Tomaat-knoflooktoast,"Een traditionele Italiaanse antipasto van gegrild of geroosterd rustiek brood, ingewreven met knoflook en belegd met fijngehakte rijpe tomaten, aangemaakt met extra vergine olijfolie, basilicum, zout en peper. Meteen serveren terwijl het brood knapperig en warm is; een klassieke start van de maaltijd, vooral in de zomer wanneer tomaten het zoetst zijn.",Droge witte wijn,Combineer met een frisse droge Italiaanse witte wijn zoals Vermentino of een lichte rosé die past bij verse tomaat en olijfolie. Alcoholvrij: bruiswater met citroen of ongezoete ijsthee.,Bruschetta al Pomodoro,Tomaten-Knoblauch-Toast,"Eine traditionelle italienische Antipasto aus gegrilltem oder geröstetem rustikalem Brot, mit Knoblauch eingerieben und mit gehackten reifen Tomaten belegt, angemacht mit nativem Olivenöl extra, Basilikum, Salz und Pfeffer. Sofort serviert, wenn das Brot knusprig und warm ist; ein klassischer Auftakt, besonders im Sommer, wenn Tomaten am süßesten sind.",Trockener Weißwein,"Kombiniere mit einem frischen, trockenen italienischen Weißwein wie Vermentino oder einem leichten Rosé, passend zu Tomate und Olivenöl. Alkoholfrei: Sprudelwasser mit Zitrone oder ungesüßter Eistee.",Bruschetta al Pomodoro,Toast tomate-ail,"Antipasto italien traditionnel de pain rustique grillé ou toasté, frotté à l’ail et garni de tomates mûres hachées, assaisonnées d’huile d’olive extra vierge, basilic, sel et poivre. Servi immédiatement tant que le pain est chaud et croustillant; début de repas classique, surtout en été quand les tomates sont les plus sucrées.",Blanc sec,"À associer à un blanc italien sec et vif comme le Vermentino, ou à un rosé léger, pour accompagner la tomate fraîche et l’huile d’olive. Sans alcool: eau pétillante au citron ou thé glacé non sucré."
